"","participant_id","treat","age_months","female","kindergarten","teacher_id","school_id","private_school","title1","free_reduced_lunch","state","esl_observed","special_ed_observed","new_student","distracted_a1","distracted_a2","distracted_ppvt","score_a1","invalid_a1","score_a2","invalid_a2","score_ppvt","score_ppvt_age","invalid_ppvt","t_logins_april","t_logins_total","t_weeks_used","t_words_learned","t_financial_struggle","t_misbehavior","t_years_experience","score_pct_change"
"1",100,0,81,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,27,NA,28,0,128,116,0,NA,NA,NA,NA,20,1,43,3.7037037037037
"2",101,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",102,0,77,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",103,0,68,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,24,NA,25,0,93,102,0,NA,NA,NA,NA,20,1,43,4.16666666666667
"5",104,0,75,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,25,NA,27,0,NA,NA,1,NA,NA,NA,NA,20,1,43,8
"6",105,0,76,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,18,NA,21,0,89,89,0,NA,NA,NA,NA,20,1,43,16.6666666666667
"7",106,0,76,1,1,45,"1",0,1,75,1,0,0,0,1,0,0,21,NA,17,0,54,71,0,NA,NA,NA,NA,20,1,43,-19.047619047619
"8",107,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,28,NA,26,0,123,117,0,NA,NA,NA,NA,20,1,43,-7.14285714285714
"9",108,0,75,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,21,NA,24,0,88,90,0,NA,NA,NA,NA,20,1,43,14.2857142857143
"10",109,0,73,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,23,NA,26,0,NA,NA,1,NA,NA,NA,NA,20,1,43,13.0434782608696
"11",110,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,25,NA,25,0,106,103,0,NA,NA,NA,NA,20,1,43,0
"12",111,0,74,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,24,NA,23,0,85,89,0,NA,NA,NA,NA,20,1,43,-4.16666666666667
"13",113,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,23,NA,26,0,84,87,0,NA,NA,NA,NA,20,1,43,13.0434782608696
"14",114,0,71,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,28,NA,28,0,123,123,0,NA,NA,NA,NA,20,1,43,0
"15",115,0,80,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",116,0,75,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",117,0,69,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",118,0,73,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",119,0,81,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10148,1,65,1,0,28,"2",0,1,91,3,0,0,0,0,0,1,34,NA,31,0,138,137,0,23,156,35,5,10,1,27,-8.82352941176471
"21",16144,1,58,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,21,NA,24,0,87,108,0,23,156,35,5,10,1,27,14.2857142857143
"22",17009,1,69,1,0,28,"2",0,1,91,3,0,0,0,0,0,0,28,NA,33,0,113,115,0,23,156,35,5,10,1,27,17.8571428571429
"23",18848,1,67,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,30,NA,32,0,109,115,0,23,156,35,5,10,1,27,6.66666666666667
"24",25961,1,65,1,0,28,"2",0,1,91,3,0,0,0,0,0,0,16,NA,18,0,55,80,0,23,156,35,5,10,1,27,12.5
"25",26448,1,60,0,0,28,"2",0,1,91,3,0,1,0,0,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",27480,1,68,0,0,28,"2",0,1,91,3,0,1,0,0,0,1,13,NA,16,0,39,65,0,23,156,35,5,10,1,27,23.0769230769231
"27",33415,1,64,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,21,NA,26,0,83,99,0,23,156,35,5,10,1,27,23.8095238095238
"28",34684,1,68,0,0,28,"2",0,1,91,3,0,1,0,1,1,1,31,NA,24,0,91,100,0,23,156,35,5,10,1,27,-22.5806451612903
