"subject","scenario","attitude","pitch"
"A","A","polite",229.7
"A","A","informal",237.3
"A","B","polite",236.8
"A","B","informal",251
"A","C","polite",267
"A","C","informal",266
"A","D","polite",275.4
"A","D","informal",306.8
"A","E","polite",232.6
"A","E","informal",252.5
"A","F","polite",226.5
"A","F","informal",278.8
"A","G","informal",264.4
"A","G","polite",185.5
"B","A","polite",110.7
"B","A","informal",123.6
"B","B","polite",229
"B","B","informal",114.9
"B","C","polite",112.2
"B","C","informal",213.6
"B","D","polite",193.4
"B","D","informal",162.9
"B","E","polite",101.8
"B","E","informal",126.9
"B","F","polite",NA
"B","F","informal",136.2
"B","G","informal",146
"B","G","polite",126.5
"C","A","polite",213.3
"C","A","informal",204.5
"C","B","polite",285.1
"C","B","informal",259.7
"C","C","polite",203.9
"C","C","informal",286.9
"C","D","polite",250.8
"C","D","informal",276.8
"C","E","polite",231.9
"C","E","informal",252.4
"C","F","polite",181.2
"C","F","informal",230.7
"C","G","informal",216.5
"C","G","polite",154.8
"D","A","polite",86.1
"D","A","informal",99.1
"D","B","polite",82.2
"D","B","informal",104.3
"D","C","polite",85.9
"D","C","informal",110.2
"D","D","polite",97.1
"D","D","informal",120
"D","E","polite",93.7
"D","E","informal",102.9
"D","F","polite",108.8
"D","F","informal",108.2
"D","G","informal",124.4
"D","G","polite",107.6
"E","A","polite",232.7
"E","A","informal",231.3
"E","B","polite",246.3
"E","B","informal",259.7
"E","C","polite",289.4
"E","C","informal",301.8
"E","D","polite",243.2
"E","D","informal",296.2
"E","E","polite",277.7
"E","E","informal",294.2
"E","F","polite",208
"E","F","informal",225.9
"E","G","informal",281
"E","G","polite",227.2
"F","A","polite",153.8
"F","A","informal",188.8
"F","B","polite",142.4
"F","B","informal",199.7
"F","C","polite",160.2
"F","C","informal",186.1
"F","D","polite",207.5
"F","D","informal",190.9
"F","E","polite",160.7
"F","E","informal",156.5
"F","F","polite",146.7
"F","F","informal",158
"F","G","informal",161.1
"F","G","polite",153.3
